totalRound:1000
                                                 0,8 | 0,8        = TIE        | (BET|-200,BALANCE|6600) PLAYER_WIN
                                                 0,7 | 3,3        = PLAYER_WIN | (BET|-200,WIN,BALANCE|6800) PLAYER_WIN (HIT)
                                                 9,8 | (5,10)5,5  = PLAYER_WIN | (BET|-200,BALANCE|6600) BANKER_WIN
                                            (4,J)4,9 | (Q,K)0,9   = BANKER_WIN | (BET|-200,WIN,BALANCE|6800) BANKER_WIN (HIT)
                                                 3,3 | 4,3        = BANKER_WIN | (BET|-200,BALANCE|6600) PLAYER_WIN
                                            (4,9)3,4 | (8,2)0,A   = PLAYER_WIN | (BET|-200,WIN,BALANCE|6800) PLAYER_WIN (HIT)
                                                 1,6 | 7,0        = TIE        | (BET|-200,BALANCE|6600) BANKER_WIN
                                            (K,5)5,2 | (5,7)2,Q   = PLAYER_WIN | (BET|-200,BALANCE|6400) BANKER_WIN
                                           (10,K)0,8 | 0,0        = PLAYER_WIN | (BET|-200,BALANCE|6200) BANKER_WIN
                                                 9,0 | 0,4        = PLAYER_WIN | (BET|-200,BALANCE|6000) BANKER_WIN
                                           (2,10)2,A | (4,J)4,3   = BANKER_WIN | (BET|-200,WIN,BALANCE|6200) BANKER_WIN (HIT)
                                                 0,7 | (2,A)3,9   = PLAYER_WIN | (BET|-200,WIN,BALANCE|6400) PLAYER_WIN (HIT)
                                            (5,7)2,K | (A,Q)1,4   = BANKER_WIN | (BET|-200,WIN,BALANCE|6600) BANKER_WIN (HIT)
                                            (4,8)2,Q | 0,6        = BANKER_WIN | (BET|-200,BALANCE|6400) PLAYER_WIN
                                                 9,0 | 7,8        = PLAYER_WIN | (BET|-200,WIN,BALANCE|6600) PLAYER_WIN (HIT)
                                                 0,3 | 6,2        = BANKER_WIN | (BET|-200,WIN,BALANCE|6800) BANKER_WIN (HIT)
                                                 0,0 | 5,4        = BANKER_WIN | (BET|-200,BALANCE|6600) PLAYER_WIN
                                            (3,7)0,6 | (9,4)3,7   = PLAYER_WIN | (BET|-200,WIN,BALANCE|6800) PLAYER_WIN (HIT)
                                                 4,8 | 0,8        = BANKER_WIN | (BET|-200,WIN,BALANCE|7000) BANKER_WIN (HIT)
                                                 9,8 | (5,9)4,2   = PLAYER_WIN | (BET|-200,WIN,BALANCE|7200) PLAYER_WIN (HIT)
                                            (2,J)2,6 | 0,0        = PLAYER_WIN | (BET|-200,BALANCE|7000) BANKER_WIN
                                                 6,0 | 6,0        = TIE        | (BET|-200,BALANCE|6800) BANKER_WIN
                                          (10,10)0,2 | 1,5        = BANKER_WIN | (BET|-200,WIN,BALANCE|7000) BANKER_WIN (HIT)
                                                 8,0 | 0,5        = PLAYER_WIN | (BET|-200,WIN,BALANCE|7200) PLAYER_WIN (HIT)
                                                 8,0 | 7,9        = PLAYER_WIN | (BET|-200,BALANCE|7000) BANKER_WIN
                                                 3,5 | 6,1        = PLAYER_WIN | (BET|-200,BALANCE|6800) BANKER_WIN
                                                 1,7 | 0,0        = PLAYER_WIN | (BET|-200,BALANCE|6600) BANKER_WIN
                                                     卡用完了，重新初始化!
                                            (2,K)2,K | 4,0        = BANKER_WIN | (BET|-200,WIN,BALANCE|6800) BANKER_WIN (HIT)
                                            (8,6)4,J | (10,A)1,A  = PLAYER_WIN | (BET|-200,WIN,BALANCE|7000) PLAYER_WIN (HIT)
                                            (2,A)3,2 | 4,1        = TIE        | (BET|-200,BALANCE|6800) BANKER_WIN
                                            (7,8)5,4 | 5,0        = PLAYER_WIN | (BET|-200,BALANCE|6600) BANKER_WIN
                                            (6,5)1,8 | 7,7        = PLAYER_WIN | (BET|-200,BALANCE|6400) BANKER_WIN
                                                 0,9 | 1,2        = PLAYER_WIN | (BET|-200,BALANCE|6200) BANKER_WIN
                                            (6,4)0,6 | (3,7)0,10  = PLAYER_WIN | (BET|-200,BALANCE|6000) BANKER_WIN
                                           (5,10)5,2 | (Q,K)0,3   = PLAYER_WIN | (BET|-200,BALANCE|5800) BANKER_WIN
                                           (3,10)3,9 | 0,4        = BANKER_WIN | (BET|-200,WIN,BALANCE|6000) BANKER_WIN (HIT)
                                                 7,0 | 8,9        = TIE        | (BET|-200,BALANCE|5800) PLAYER_WIN
                                                 0,5 | 9,0        = BANKER_WIN | (BET|-200,BALANCE|5600) PLAYER_WIN
                                            (4,7)1,J | 0,5        = BANKER_WIN | (BET|-200,BALANCE|5400) PLAYER_WIN
                                            (8,6)4,Q | (2,K)2,10  = PLAYER_WIN | (BET|-200,WIN,BALANCE|5600) PLAYER_WIN (HIT)
                                            (9,5)4,A | (3,Q)3,K   = PLAYER_WIN | (BET|-200,BALANCE|5400) BANKER_WIN
                                                 0,8 | 7,7        = PLAYER_WIN | (BET|-200,BALANCE|5200) BANKER_WIN
                                                 0,9 | 4,4        = PLAYER_WIN | (BET|-200,BALANCE|5000) BANKER_WIN
                                                 3,0 | 6,3        = BANKER_WIN | (BET|-200,WIN,BALANCE|5200) BANKER_WIN (HIT)
                                                 2,0 | 7,2        = BANKER_WIN | (BET|-200,BALANCE|5000) PLAYER_WIN
                                                 0,8 | 2,4        = PLAYER_WIN | (BET|-200,WIN,BALANCE|5200) PLAYER_WIN (HIT)
                                                 0,6 | (A,9)0,3   = PLAYER_WIN | (BET|-200,BALANCE|5000) BANKER_WIN
                                                 9,6 | 8,0        = BANKER_WIN | (BET|-200,WIN,BALANCE|5200) BANKER_WIN (HIT)
                                                 1,0 | 9,0        = BANKER_WIN | (BET|-200,BALANCE|5000) PLAYER_WIN
                                                 9,0 | 9,2        = PLAYER_WIN | (BET|-200,WIN,BALANCE|5200) PLAYER_WIN (HIT)
                                                 0,7 | 2,4        = PLAYER_WIN | (BET|-200,BALANCE|5000) BANKER_WIN
                                                 8,0 | 0,0        = PLAYER_WIN | (BET|-200,BALANCE|4800) BANKER_WIN
                                                 0,6 | 9,0        = BANKER_WIN | (BET|-200,WIN,BALANCE|5000) BANKER_WIN (HIT)
                                                 9,0 | 0,1        = PLAYER_WIN | (BET|-200,WIN,BALANCE|5200) PLAYER_WIN (HIT)
                                            (2,8)0,2 | (A,3)4,6   = PLAYER_WIN | (BET|-200,BALANCE|5000) BANKER_WIN
                                                 0,5 | 2,7        = BANKER_WIN | (BET|-200,WIN,BALANCE|5200) BANKER_WIN (HIT)
                                            (5,6)1,3 | (J,4)4,9   = PLAYER_WIN | (BET|-200,WIN,BALANCE|5400) PLAYER_WIN (HIT)
                                                 6,0 | 0,9        = BANKER_WIN | (BET|-200,WIN,BALANCE|5600) BANKER_WIN (HIT)
                                            (7,4)1,8 | 0,0        = PLAYER_WIN | (BET|-200,WIN,BALANCE|5800) PLAYER_WIN (HIT)
                                                 0,9 | 0,8        = PLAYER_WIN | (BET|-200,BALANCE|5600) BANKER_WIN
                                                 8,1 | 0,9        = TIE        | (BET|-200,BALANCE|5400) BANKER_WIN
                                           (10,4)4,3 | 3,4        = TIE        | (BET|-200,BALANCE|5200) BANKER_WIN
                                                 6,0 | 9,8        = BANKER_WIN | (BET|-200,WIN,BALANCE|5400) BANKER_WIN (HIT)
                                           (4,10)4,8 | (2,J)2,10  = TIE        | (BET|-200,BALANCE|5200) PLAYER_WIN
                                            (5,6)1,9 | (10,J)0,3  = BANKER_WIN | (BET|-200,BALANCE|5000) PLAYER_WIN
                                                 8,1 | 5,0        = PLAYER_WIN | (BET|-200,WIN,BALANCE|5200) PLAYER_WIN (HIT)
                                            (Q,5)5,J | 5,1        = BANKER_WIN | (BET|-200,WIN,BALANCE|5400) BANKER_WIN (HIT)
                                                 6,1 | 0,6        = PLAYER_WIN | (BET|-200,WIN,BALANCE|5600) PLAYER_WIN (HIT)
                                            (5,K)5,7 | (3,J)3,Q   = BANKER_WIN | (BET|-200,WIN,BALANCE|5800) BANKER_WIN (HIT)
                                                 3,5 | 5,9        = PLAYER_WIN | (BET|-200,WIN,BALANCE|6000) PLAYER_WIN (HIT)
                                                 0,1 | 1,7        = BANKER_WIN | (BET|-200,WIN,BALANCE|6200) BANKER_WIN (HIT)
                                            (8,2)0,A | 5,1        = BANKER_WIN | (BET|-200,BALANCE|6000) PLAYER_WIN
                                            (Q,K)0,3 | (6,6)2,K   = PLAYER_WIN | (BET|-200,WIN,BALANCE|6200) PLAYER_WIN (HIT)
                                                 6,0 | (J,2)2,4   = TIE        | (BET|-200,BALANCE|6000) BANKER_WIN
                                                 0,9 | 9,0        = TIE        | (BET|-200,BALANCE|5800) BANKER_WIN
                                                 4,4 | 7,7        = PLAYER_WIN | (BET|-200,BALANCE|5600) BANKER_WIN
                                            (Q,4)4,6 | (9,4)3,J   = BANKER_WIN | (BET|-200,WIN,BALANCE|5800) BANKER_WIN (HIT)
                                            (K,5)5,Q | 5,0        = TIE        | (BET|-200,BALANCE|5600) PLAYER_WIN
                                            (J,Q)0,Q | 3,3        = BANKER_WIN | (BET|-200,BALANCE|5400) PLAYER_WIN
                                            (A,K)1,J | 8,9        = BANKER_WIN | (BET|-200,BALANCE|5200) PLAYER_WIN
                                           (10,J)0,5 | (J,A)1,K   = PLAYER_WIN | (BET|-200,WIN,BALANCE|5400) PLAYER_WIN (HIT)
                                                 2,5 | (7,8)5,8   = PLAYER_WIN | (BET|-200,BALANCE|5200) BANKER_WIN
                                                 7,2 | 9,8        = PLAYER_WIN | (BET|-200,BALANCE|5000) BANKER_WIN
